Fecha;Estacion_seleccionada;PromedioDiario_MP10;ICAP_MP10;ICAP_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;ICAP_mod_MP2_5;condicion_final;condicion_mod
2025-10-16;Padre_Las_Casas_II;23.92;18.4;53.15;10.88;21.75;72.5;Bueno;Bueno
2025-10-17;Padre_Las_Casas_II;22.38;17.21;49.72;7.71;15.42;51.39;Bueno;Bueno
2025-10-18;Padre_Las_Casas_II;25.17;19.36;55.93;8.12;16.25;54.17;Bueno;Bueno
2025-10-19;Padre_Las_Casas_II;16.17;12.44;35.93;3.96;7.92;26.39;Bueno;Bueno
2025-10-20;Villarrica;;;;23.5;47.0;118.41;Bueno;Regular
2025-10-21;Villarrica;;;;23.12;46.25;117.59;Bueno;Regular
2025-10-22;Padre_Las_Casas_II;20.21;15.54;44.91;5.71;11.42;38.06;Bueno;Bueno
2025-10-23;Las_Encinas_Temuco;25.59;19.69;56.87;16.95;33.91;104.22;Bueno;Regular
2025-10-24;Villarrica;;;;24.12;48.25;119.77;Bueno;Regular
2025-10-25;Villarrica;;;;18.67;37.33;107.93;Bueno;Regular
2025-10-26;Villarrica;;;;21.92;43.83;114.97;Bueno;Regular
2025-10-27;Padre_Las_Casas_II;30.5;23.46;67.78;5.12;10.25;34.17;Bueno;Bueno
2025-10-28;Nielol;27.14;20.87;60.3;5.64;11.27;37.58;Bueno;Bueno
2025-10-29;Nielol;20.79;15.99;46.2;2.92;5.83;19.44;Bueno;Bueno
2025-10-30;Padre_Las_Casas_II;15.38;11.83;34.17;2.33;4.67;15.56;Bueno;Bueno
2025-10-31;Nielol;9.25;7.12;20.56;1.92;3.83;12.78;Bueno;Bueno
2025-11-01;Villarrica;;;;13.29;26.58;88.61;Bueno;Bueno
2025-11-02;Nielol;8.5;6.54;18.89;2.08;4.17;13.89;Bueno;Bueno
2025-11-03;Nielol;22.54;17.34;50.09;5.46;10.92;36.39;Bueno;Bueno
2025-11-04;Padre_Las_Casas_II;21.0;16.15;46.67;6.71;13.42;44.72;Bueno;Bueno
2025-11-05;Nielol;25.92;19.94;57.59;4.38;8.75;29.17;Bueno;Bueno
2025-11-06;Las_Encinas_Temuco;26.75;20.58;59.44;11.58;23.17;77.22;Bueno;Bueno
2025-11-07;Nielol;29.62;22.79;65.83;5.0;10.0;33.33;Bueno;Bueno
2025-11-08;Padre_Las_Casas_II;23.25;17.88;51.67;4.88;9.75;32.5;Bueno;Bueno
2025-11-09;Nielol;13.54;10.42;30.09;3.25;6.5;21.67;Bueno;Bueno
2025-11-10;Las_Encinas_Temuco;17.54;13.49;38.98;4.83;9.67;32.22;Bueno;Bueno
2025-11-11;Padre_Las_Casas_II;6.29;4.84;13.98;1.29;2.58;8.61;Bueno;Bueno
2025-11-12;Padre_Las_Casas_II;10.33;7.95;22.96;2.58;5.17;17.22;Bueno;Bueno
2025-11-13;Las_Encinas_Temuco;12.71;9.78;28.24;5.12;10.25;34.17;Bueno;Bueno
2025-11-14;Las_Encinas_Temuco;14.17;10.9;31.48;2.17;4.33;14.44;Bueno;Bueno
2025-11-15;Padre_Las_Casas_II;9.67;7.44;21.48;2.88;5.75;19.17;Bueno;Bueno
2025-11-16;Padre_Las_Casas_II;15.62;12.02;34.72;4.25;8.5;28.33;Bueno;Bueno
2025-11-17;Padre_Las_Casas_II;23.96;18.43;53.24;1.38;2.75;9.17;Bueno;Bueno
2025-11-18;Padre_Las_Casas_II;26.71;20.54;59.35;3.92;7.83;26.11;Bueno;Bueno
2025-11-19;Padre_Las_Casas_II;33.17;25.52;73.72;2.35;4.7;15.65;Bueno;Bueno
2025-11-20;Padre_Las_Casas_II;9.38;7.21;20.83;1.38;2.75;9.17;Bueno;Bueno
2025-11-21;Padre_Las_Casas_II;30.79;23.69;68.43;3.88;7.75;25.83;Bueno;Bueno
2025-11-22;Padre_Las_Casas_II;22.83;17.56;50.74;2.54;5.08;16.94;Bueno;Bueno
2025-11-23;Padre_Las_Casas_II;17.92;13.78;39.81;2.67;5.33;17.78;Bueno;Bueno
2025-11-24;Las_Encinas_Temuco;25.75;19.81;57.22;5.25;10.5;35.0;Bueno;Bueno
2025-11-25;Las_Encinas_Temuco;21.0;16.15;46.67;11.12;22.25;74.17;Bueno;Bueno
2025-11-26;Las_Encinas_Temuco;15.67;12.05;34.81;4.79;9.58;31.94;Bueno;Bueno
2025-11-27;Las_Encinas_Temuco;27.76;21.36;61.69;4.91;9.83;32.75;Bueno;Bueno
2025-11-28;Nielol;35.83;27.56;79.63;3.33;6.67;22.22;Bueno;Bueno
2025-11-29;Nielol;23.38;17.98;51.94;1.33;2.67;8.89;Bueno;Bueno
2025-11-30;Padre_Las_Casas_II;9.33;7.18;20.74;2.58;5.17;17.22;Bueno;Bueno
2025-12-01;Las_Encinas_Temuco;15.0;11.54;33.33;3.5;7.0;23.33;Bueno;Bueno
